 shot  ray#     dist   amplitude     phase  code
   -1    1     9.147   0.171E+00    179.85   2.2
   -1    2     9.515   0.197E+00    164.12   2.2
   -1    3     9.887   0.265E+00    143.67   2.2
   -1    4    10.315   0.362E+00    111.21   2.2
   -1    5    10.797   0.350E+00     24.22   2.2
   -1    6    11.282   0.156E+00      0.00   2.2
   -1    7    11.722   0.561E-01      0.00   2.2
   -1    8    12.109   0.735E-01      0.00   2.2
   -1    9    12.460   0.117E+00      0.00   2.2
   -1   10    12.802   0.150E+00      0.00   2.2
   -1    1    10.818   0.218E-02    -89.89   3.1
   -1    2     9.455   0.849E-02      0.00   3.1
   -1    3     8.867   0.149E-01      0.00   3.1
   -1    4     8.413   0.190E-01      0.00   3.1
   -1    5     8.027   0.214E-01      0.00   3.1
   -1    6     7.683   0.231E-01      0.00   3.1
   -1    7     7.366   0.246E-01      0.00   3.1
   -1    8     7.076   0.260E-01      0.00   3.1
   -1    9     6.804   0.271E-01      0.00   3.1
   -1   10     6.549   0.277E-01      0.00   3.1
   -1    1     6.580   0.529E-01    179.73   3.2
   -1    2    10.668   0.475E-01      0.00   3.2
   -1    3    11.184   0.491E-01      0.00   3.2
   -1    4    11.539   0.282E-01      0.00   3.2
   -1    5    11.819   0.187E-01      0.00   3.2
   -1    6    12.054   0.249E-01      0.00   3.2
   -1    7    12.260   0.339E-01      0.00   3.2
   -1    8    12.447   0.434E-01      0.00   3.2
   -1    9    12.622   0.507E-01      0.00   3.2
   -1   10    12.792   0.544E-01      0.00   3.2
   -1    1    10.286   0.232E-01      0.00   4.1
   -1    2     9.961   0.778E-01      0.00   4.1
   -1    3     9.844   0.124E+00      0.00   4.1
   -1    4     9.758   0.160E+00      0.00   4.1
   -1    5     9.691   0.194E+00      0.00   4.1
   -1    6     9.633   0.220E+00      0.00   4.1
   -1    7     9.581   0.236E+00      0.00   4.1
   -1    8     9.534   0.245E+00      0.00   4.1
   -1    9     9.490   0.250E+00      0.00   4.1
   -1   10     9.448   0.252E+00      0.00   4.1
   -1    1     9.451   0.109E+00    180.00   4.2
   -1    2     9.990   0.864E-01    180.00   4.2
   -1    3    10.421   0.737E-01    180.00   4.2
   -1    4    10.804   0.552E-01    180.00   4.2
   -1    5    11.164   0.382E-01    180.00   4.2
   -1    6    11.507   0.339E-01    180.00   4.2
   -1    7    11.835   0.442E-01    180.00   4.2
   -1    8    12.152   0.690E-01    180.00   4.2
   -1    9    12.465   0.988E-01    180.00   4.2
   -1   10    12.789   0.118E+00    180.00   4.2
   -1    1     9.507   0.378E-01     88.65   5.2
   -1    2     9.935   0.103E+00     74.78   5.2
   -1    3    10.364   0.117E+00      0.00   5.2
   -1    4    10.758   0.707E-01      0.00   5.2
   -1    5    11.129   0.354E-01      0.00   5.2
   -1    6    11.538   0.254E-01      0.00   5.2
   -1    7    11.866   0.308E-01      0.00   5.2
   -1    8    12.184   0.453E-01      0.00   5.2
   -1    9    12.501   0.625E-01      0.00   5.2
   -1   10    12.826   0.731E-01      0.00   5.2
   -1    1     9.507   0.378E-01     88.65   5.2
   -1    2     9.935   0.103E+00     74.78   5.2
   -1    3    10.364   0.117E+00      0.00   5.2
   -1    4    10.758   0.707E-01      0.00   5.2
   -1    5    11.129   0.354E-01      0.00   5.2
   -1    6    11.538   0.254E-01      0.00   5.2
   -1    7    11.866   0.308E-01      0.00   5.2
   -1    8    12.184   0.453E-01      0.00   5.2
   -1    9    12.501   0.625E-01      0.00   5.2
   -1   10    12.826   0.731E-01      0.00   5.2
   -1    1    10.274   0.356E-02      0.00   6.1
   -1    2    10.033   0.133E-01      0.00   6.1
   -1    3     9.788   0.284E-01      0.00   6.1
   -1    4     9.549   0.467E-01      0.00   6.1
   -1    5     9.315   0.628E-01      0.00   6.1
   -1    6     9.086   0.755E-01      0.00   6.1
   -1    7     8.859   0.868E-01      0.00   6.1
   -1    8     8.632   0.966E-01      0.00   6.1
   -1    9     8.404   0.104E+00      0.00   6.1
   -1   10     8.174   0.109E+00      0.00   6.1
   -1    1    10.274   0.356E-02      0.00   6.1
   -1    2    10.033   0.133E-01      0.00   6.1
   -1    3     9.788   0.284E-01      0.00   6.1
   -1    4     9.549   0.467E-01      0.00   6.1
   -1    5     9.315   0.628E-01      0.00   6.1
   -1    6     9.086   0.755E-01      0.00   6.1
   -1    7     8.859   0.868E-01      0.00   6.1
   -1    8     8.632   0.966E-01      0.00   6.1
   -1    9     8.404   0.104E+00      0.00   6.1
   -1   10     8.174   0.109E+00      0.00   6.1
   -1    1     8.191   0.698E-01    179.50   6.2
   -1    2     9.251   0.145E+00    137.03   6.2
   -1    3     9.945   0.229E+00     73.98   6.2
   -1    4    10.468   0.122E+00      0.00   6.2
   -1    5    10.914   0.341E-01      0.00   6.2
   -1    6    11.325   0.215E-01      0.00   6.2
   -1    7    11.701   0.225E-01      0.00   6.2
   -1    8    12.062   0.324E-01      0.00   6.2
   -1    9    12.422   0.448E-01      0.00   6.2
   -1   10    12.794   0.528E-01      0.00   6.2
    1    1    16.445   0.173E+00    179.39   2.2
    1    2    16.079   0.201E+00    164.08   2.2
    1    3    15.714   0.274E+00    143.56   2.2
    1    4    15.295   0.373E+00    110.89   2.2
    1    5    14.824   0.359E+00     21.09   2.2
    1    6    14.349   0.160E+00      0.00   2.2
    1    7    13.916   0.569E-01      0.00   2.2
    1    8    13.532   0.746E-01      0.00   2.2
    1    9    13.184   0.117E+00      0.00   2.2
    1   10    12.830   0.148E+00      0.00   2.2
    1    1    14.809   0.224E-02    -89.89   3.1
    1    2    16.075   0.882E-02      0.00   3.1
    1    3    16.589   0.157E-01      0.00   3.1
    1    4    16.980   0.204E-01      0.00   3.1
    1    5    17.309   0.232E-01      0.00   3.1
    1    6    17.598   0.252E-01      0.00   3.1
    1    7    17.860   0.272E-01      0.00   3.1
    1    8    18.104   0.292E-01      0.00   3.1
    1    9    18.320   0.308E-01      0.00   3.1
    1   10    18.523   0.316E-01      0.00   3.1
    1    1    18.499   0.593E-01    179.69   3.2
    1    2    14.928   0.447E-01      0.00   3.2
    1    3    14.426   0.373E-01      0.00   3.2
    1    4    14.080   0.234E-01      0.00   3.2
    1    5    13.805   0.192E-01      0.00   3.2
