 shot  ray#     dist   amplitude     phase  code
   -1    1    24.381   0.401E-01      0.00   1.1
   -1    2    24.120   0.395E-01      0.00   1.1
   -1    3    23.210   0.392E-01      0.00   1.1
   -1    4    22.938   0.395E-01      0.00   1.1
   -1    5    22.633   0.395E-01      0.00   1.1
   -1    6    22.291   0.384E-01      0.00   1.1
   -1    7    21.904   0.363E-01      0.00   1.1
   -1    8    21.461   0.340E-01      0.00   1.1
   -1    9    20.952   0.323E-01      0.00   1.1
   -1   10    20.358   0.315E-01      0.00   1.1
   -1   11    19.844   0.314E-01      0.00   1.1
   -1   12    19.491   0.313E-01      0.00   1.1
   -1   13    19.105   0.308E-01      0.00   1.1
   -1   14    18.684   0.297E-01      0.00   1.1
   -1   15    18.221   0.282E-01      0.00   1.1
   -1   16    17.711   0.267E-01      0.00   1.1
   -1   17    17.145   0.254E-01      0.00   1.1
   -1   18    16.514   0.246E-01      0.00   1.1
   -1   19    15.805   0.242E-01      0.00   1.1
   -1   20    15.130   0.241E-01      0.00   1.1
   -1   21    14.666   0.241E-01      0.00   1.1
   -1   22    14.203   0.241E-01      0.00   1.1
   -1   23    13.707   0.238E-01      0.00   1.1
   -1   24    13.173   0.234E-01      0.00   1.1
   -1   25    12.597   0.229E-01      0.00   1.1
   -1   26    11.976   0.225E-01      0.00   1.1
   -1   27    11.301   0.223E-01      0.00   1.1
   -1   28    10.762   0.221E-01      0.00   1.1
   -1   29    10.286   0.219E-01      0.00   1.1
   -1   30     9.781   0.216E-01      0.00   1.1
   -1   31     9.247   0.212E-01      0.00   1.1
   -1   32     8.681   0.209E-01      0.00   1.1
   -1   33     8.078   0.205E-01      0.00   1.1
   -1   34     7.436   0.202E-01      0.00   1.1
   -1   35     6.751   0.200E-01      0.00   1.1
   -1   36     6.232   0.199E-01      0.00   1.1
   -1   37     5.730   0.197E-01      0.00   1.1
   -1   38     5.204   0.195E-01      0.00   1.1
   -1   39     4.651   0.192E-01      0.00   1.1
   -1   40     4.071   0.189E-01      0.00   1.1
   -1   41     3.461   0.186E-01      0.00   1.1
   -1   42     2.818   0.184E-01      0.00   1.1
   -1   43     2.155   0.181E-01      0.00   1.1
   -1   44     1.613   0.180E-01      0.00   1.1
   -1   45     1.046   0.178E-01      0.00   1.1
   -1   46     0.453   0.177E-01      0.00   1.1
   -1    2     4.876   0.267E-01    176.08   1.2
   -1    3     8.953   0.283E-01    174.00   1.2
   -1    4    11.684   0.313E-01    172.06   1.2
   -1    5    13.594   0.355E-01    170.18   1.2
   -1    6    14.948   0.408E-01    168.32   1.2
   -1    7    16.175   0.469E-01    166.34   1.2
   -1    8    17.195   0.537E-01    164.22   1.2
   -1    9    18.041   0.608E-01    161.93   1.2
   -1   10    18.750   0.679E-01    159.43   1.2
   -1   11    19.331   0.748E-01    156.71   1.2
   -1   12    19.844   0.813E-01    153.71   1.2
   -1   13    20.329   0.877E-01    150.37   1.2
   -1   14    20.779   0.942E-01    146.64   1.2
   -1   15    21.186   0.101E+00    142.46   1.2
   -1   16    21.557   0.109E+00    137.76   1.2
   -1   17    21.898   0.117E+00    132.43   1.2
   -1   18    22.213   0.125E+00    126.38   1.2
   -1   19    22.504   0.134E+00    119.47   1.2
   -1   20    22.775   0.144E+00    111.51   1.2
   -1   21    23.029   0.154E+00    102.27   1.2
   -1   22    23.266   0.164E+00     91.39   1.2
   -1   23    23.534   0.173E+00     78.26   1.2
   -1   24    23.747   0.174E+00     61.64   1.2
   -1   25    23.947   0.163E+00     37.54   1.2
   -1   26    24.137   0.140E+00      0.00   1.2
   -1   27    24.342   0.113E+00      0.00   1.2
   -1   28    24.517   0.905E-01      0.00   1.2
   -1   29    24.684   0.754E-01      0.00   1.2
   -1   30    24.844   0.670E-01      0.00   1.2
   -1   31    24.997   0.626E-01      0.00   1.2
   -1   32    25.145   0.606E-01      0.00   1.2
   -1   33    25.287   0.602E-01      0.00   1.2
   -1   34    25.425   0.608E-01      0.00   1.2
   -1   35    25.558   0.622E-01      0.00   1.2
   -1   36    25.687   0.643E-01      0.00   1.2
   -1   37    25.812   0.668E-01      0.00   1.2
   -1   38    25.934   0.698E-01      0.00   1.2
   -1   39    26.052   0.731E-01      0.00   1.2
   -1   40    26.167   0.767E-01      0.00   1.2
   -1   41    26.280   0.804E-01      0.00   1.2
   -1   42    26.390   0.843E-01      0.00   1.2
   -1   43    26.498   0.883E-01      0.00   1.2
   -1   44    26.604   0.924E-01      0.00   1.2
   -1   45    26.707   0.964E-01      0.00   1.2
   -1   46    26.809   0.100E+00      0.00   1.2
   -1   47    26.910   0.104E+00      0.00   1.2
   -1   48    27.008   0.108E+00      0.00   1.2
   -1   49    27.106   0.112E+00      0.00   1.2
   -1   50    27.202   0.115E+00      0.00   1.2
   -1   51    27.297   0.118E+00      0.00   1.2
   -1   52    27.392   0.121E+00      0.00   1.2
   -1   53    27.485   0.124E+00      0.00   1.2
   -1   54    27.578   0.127E+00      0.00   1.2
   -1   55    27.670   0.129E+00      0.00   1.2
   -1   56    27.761   0.130E+00      0.00   1.2
   -1   57    27.852   0.131E+00      0.00   1.2
   -1   58    27.943   0.132E+00      0.00   1.2
   -1   59    28.033   0.132E+00      0.00   1.2
   -1   60    28.130   0.131E+00      0.00   1.2
   -1    1    24.055   0.795E-02      0.00   2.1
   -1    2    23.101   0.104E-01      0.00   2.1
   -1    3    22.669   0.141E-01      0.00   2.1
   -1    4    22.344   0.180E-01      0.00   2.1
   -1    5    22.077   0.216E-01      0.00   2.1
   -1    6    21.811   0.247E-01      0.00   2.1
   -1    7    21.610   0.275E-01      0.00   2.1
   -1    8    21.396   0.299E-01      0.00   2.1
   -1    9    21.213   0.320E-01      0.00   2.1
   -1   10    21.037   0.337E-01      0.00   2.1
   -1   11    20.854   0.351E-01      0.00   2.1
   -1   12    20.706   0.363E-01      0.00   2.1
   -1   13    20.550   0.374E-01      0.00   2.1
   -1   14    20.390   0.384E-01      0.00   2.1
   -1   15    20.258   0.393E-01      0.00   2.1
   -1   16    20.120   0.402E-01      0.00   2.1
   -1   17    19.977   0.411E-01      0.00   2.1
   -1   18    19.887   0.418E-01      0.00   2.1
   -1   19    19.767   0.424E-01      0.00   2.1
   -1   20    19.642   0.429E-01      0.00   2.1
   -1   21    19.515   0.433E-01      0.00   2.1
   -1   22    19.414   0.437E-01      0.00   2.1
   -1   23    19.304   0.439E-01      0.00   2.1
   -1   24    19.190   0.442E-01      0.00   2.1
   -1   25    19.072   0.444E-01      0.00   2.1
   -1   26    18.969   0.446E-01      0.00   2.1
   -1   27    18.865   0.447E-01      0.00   2.1
