
dc between calculated and observed response: -421.141 mgal


 distance    obs   calc grav anom  diff

  -334.263   -77.558    55.310   132.868
  -333.263   -72.913    55.330   128.243
  -332.263   -67.507    55.350   122.857
  -331.264   -61.599    55.369   116.968
  -330.264   -54.985    55.390   110.375
  -329.264   -48.243    55.411   103.654
  -328.265   -39.909    55.432    95.341
  -327.265   -31.435    55.453    86.888
  -326.265   -23.183    55.475    78.658
  -325.265   -15.045    55.497    70.542
  -324.266    -6.427    55.519    61.947
  -323.266     2.397    55.541    53.144
  -322.266    10.816    55.564    44.748
  -321.267    18.615    55.587    36.972
  -320.267    25.868    55.610    29.742
  -319.267    32.340    55.633    23.293
  -318.268    38.572    55.657    17.084
  -317.268    43.821    55.681    11.860
  -316.268    48.634    55.704     7.070
  -315.269    51.058    55.728     4.670
  -314.269    53.021    55.752     2.732
  -313.269    53.711    55.776     2.065
  -312.270    53.822    55.800     1.979
  -311.270    52.550    55.824     3.275
  -310.270    49.947    55.850     5.903
  -309.271    46.565    55.876     9.311
  -308.271    42.131    55.902    13.771
  -307.271    37.449    55.928    18.479
  -306.271    32.067    55.954    23.887
  -305.272    26.652    55.981    29.328
  -304.272    21.015    56.007    34.992
  -303.272    15.467    56.033    40.566
  -302.273    10.336    56.061    45.725
  -301.273     5.385    56.089    50.704
  -300.273     1.251    56.117    54.866
  -299.274    -2.541    56.145    58.686
  -298.274    -5.517    56.174    61.691
  -297.274    -7.719    56.203    63.922
  -296.275    -9.491    56.232    65.723
  -295.275   -10.617    56.261    66.878
  -294.275   -11.547    56.291    67.838
  -293.276   -11.739    56.321    68.060
  -292.276   -11.979    56.352    68.331
  -291.276   -11.531    56.382    67.913
  -290.276   -11.261    56.413    67.674
  -289.277   -10.618    56.444    67.063
  -288.277   -10.039    56.476    66.515
  -287.277    -9.674    56.507    66.182
  -286.278    -9.512    56.540    66.052
  -285.278    -9.339    56.574    65.913
  -284.278    -9.138    56.607    65.745
  -283.279    -8.867    56.641    65.508
  -282.279    -8.271    56.676    64.947
  -281.279    -7.887    56.711    64.598
  -280.280    -8.146    56.746    64.892
  -279.280    -8.512    56.781    65.293
  -278.280    -8.185    56.818    65.003
  -277.281    -7.878    56.856    64.734
  -276.281    -7.238    56.893    64.131
  -275.281    -6.532    56.931    63.463
  -274.281    -6.420    56.969    63.389
  -273.282    -6.674    57.008    63.681
  -272.282    -6.795    57.046    63.841
  -271.282    -6.791    57.084    63.875
  -270.283    -6.803    57.124    63.927
  -269.283    -6.656    57.164    63.820
  -268.283    -6.698    57.205    63.903
  -267.284    -7.787    57.245    65.033
  -266.284    -8.857    57.288    66.145
  -265.284    -9.698    57.331    67.029
  -264.285   -10.393    57.374    67.767
  -263.285   -11.031    57.417    68.448
  -262.285   -11.598    57.462    69.060
  -261.286   -12.634    57.508    70.142
  -260.286   -13.913    57.553    71.466
  -259.286   -14.926    57.598    72.524
  -258.286   -15.776    57.645    73.421
  -257.287   -16.555    57.693    74.247
  -256.287   -17.299    57.740    75.040
  -255.287   -18.017    57.788    75.805
  -254.288   -18.982    57.837    76.820
  -253.288   -19.782    57.888    77.669
  -252.288   -20.565    57.938    78.503
  -251.289   -21.249    57.988    79.237
  -250.289   -21.833    58.041    79.874
  -249.289   -22.273    58.095    80.368
  -248.290   -22.437    58.149    80.586
  -247.290   -22.434    58.203    80.637
  -246.290   -22.050    58.259    80.309
  -245.291   -21.135    58.315    79.450
  -244.291   -19.938    58.372    78.310
  -243.291   -18.173    58.428    76.601
  -242.292   -16.274    58.487    74.760
  -241.292   -13.821    58.546    72.368
  -240.292   -11.248    58.606    69.854
  -239.292    -8.169    58.666    66.834
  -238.293    -4.945    58.728    63.674
  -237.293    -2.306    58.792    61.099
  -236.293     0.080    58.856    58.776
  -235.294     1.863    58.920    57.058
  -234.294     3.104    58.987    55.883
  -233.294     3.766    59.055    55.289
  -232.295     3.494    59.122    55.628
  -231.295     2.547    59.190    56.643
  -230.295    -0.228    59.261    59.489
  -229.296    -3.319    59.334    62.653
  -228.296    -7.492    59.407    66.898
  -227.296   -12.068    59.479    71.547
  -226.297   -17.493    59.556    77.049
  -225.297   -23.495    59.634    83.129
  -224.297   -28.915    59.712    88.627
  -223.297   -33.034    59.790    92.824
  -222.298   -36.338    59.872    96.210
  -221.298   -39.615    59.954    99.569
  -220.298   -42.593    60.037   102.630
  -219.299   -44.505    60.120   104.624
  -218.299   -45.274    60.207   105.481
  -217.299   -42.421    60.297   102.718
  -216.300   -39.697    60.386   100.083
  -215.300   -34.263    60.476    94.739
  -214.300   -29.259    60.570    89.829
  -213.301   -22.413    60.667    83.080
  -212.301   -15.187    60.764    75.951
  -211.301    -7.194    60.860    68.055
  -210.302     0.948    60.962    60.014
  -209.302     9.104    61.066    51.962
  -208.302    17.443    61.170    43.727
  -207.302    25.442    61.274    35.832
  -206.303    33.098    61.384    28.286
  -205.303    40.315    61.497    21.182
  -204.303    46.319    61.609    15.290
  -203.304    52.185    61.722     9.537
  -202.304    55.274    61.841     6.568
  -201.304    58.239    61.963     3.724
  -200.305    59.228    62.085     2.856
  -199.305    59.769    62.206     2.438
  -198.305    58.800    62.335     3.536
  -197.306    57.094    62.467     5.374
  -196.306    54.334    62.600     8.266
  -195.306    50.377    62.732    12.355
  -194.307    45.773    62.873    17.100
  -193.307    39.809    63.019    23.209
  -192.307    33.833    63.164    29.331
  -191.307    26.509    63.309    36.800
  -190.308    19.287    63.463    44.176
  -189.308    11.431    63.620    52.189
  -187.658     0.000    63.880    63.880
  -186.663    -3.277    64.043    67.319
  -185.668   -10.248    64.216    74.464
  -184.674   -17.131    64.390    81.521
  -183.679   -23.740    64.564    88.304
  -182.685   -30.073    64.743    94.817
  -181.690   -35.455    64.934   100.389
  -180.695   -39.562    65.125   104.687
  -179.701   -42.920    65.316   108.236
  -178.706   -45.300    65.514   110.814
  -177.711   -47.000    65.725   112.725
  -176.717   -47.560    65.937   113.497
  -175.722   -47.420    66.148   113.568
  -174.728   -45.745    66.366   112.111
  -173.733   -43.626    66.602   110.228
  -172.738   -40.385    66.837   107.223
  -171.744   -36.948    67.073   104.021
  -170.749   -32.971    67.315   100.287
  -169.755   -28.758    67.578    96.336
  -168.760   -23.430    67.840    91.270
  -167.765   -18.014    68.103    86.117
  -166.771   -12.079    68.373    80.451
  -165.776    -6.166    68.666    74.832
  -164.781    -0.574    68.960    69.534
  -163.787     4.996    69.253    64.257
  -162.792    10.513    69.554    59.041
  -161.798    16.043    69.883    53.839
  -160.803    21.327    70.211    48.885
  -159.808    26.446    70.540    44.094
  -158.814    30.678    70.877    40.199
  -157.819    34.671    71.246    36.575
  -156.824    37.451    71.615    34.163
  -155.830    39.899    71.984    32.084
  -154.835    41.523    72.360    30.836
  -153.841    42.855    72.771    29.916
  -152.846    43.376    73.183    29.807
  -151.851    43.492    73.595    30.102
  -150.857    42.592    74.013    31.421
  -149.862    40.799    74.468    33.669
  -148.868    38.628    74.923    36.295
  -147.873    36.320    75.379    39.059
  -146.878    34.011    75.839    41.828
  -145.884    31.669    76.332    44.664
  -144.889    29.391    76.826    47.435
  -143.894    27.160    77.320    50.160
  -142.900    25.342    77.815    52.473
  -141.905    24.120    78.325    54.205
  -140.911    23.283    78.834    55.551
  -139.916    23.216    79.344    56.128
  -138.921    23.438    79.854    56.415
  -137.923    24.237    80.362    56.125
  -136.924    25.111    80.871    55.760
  -135.925    26.327    81.379    55.052
  -134.926    27.464    81.889    54.425
  -133.927    28.442    82.413    53.971
  -132.929    29.248    82.936    53.688
  -131.930    29.229    83.460    54.231
  -130.931    29.014    83.754    54.741
  -129.932    27.540    80.957    53.417
  -128.934    25.940    78.159    52.219
  -127.935    22.882    75.361    52.479
  -126.936    19.729    72.344    52.615
  -125.937    14.776    66.112    51.336
  -124.939     9.628    59.881    50.253
  -123.940     3.788    53.650    49.862
  -122.941    -2.143    47.429    49.572
  -121.942    -8.230    41.367    49.597
  -120.943   -14.328    35.305    49.633
  -119.945   -20.169    29.243    49.412
  -118.946   -25.893    23.245    49.138
  -117.947   -31.205    18.370    49.575
  -116.948   -36.273    13.494    49.766
  -115.950   -40.316     8.618    48.934
  -114.951   -43.648     3.824    47.472
  -113.952   -45.926     0.619    46.545
  -112.953   -47.604    -2.586    45.018
  -111.954   -48.738    -5.792    42.947
  -110.956   -49.378    -8.928    40.450
  -109.957   -49.619   -10.576    39.043
  -108.958   -49.377   -12.225    37.152
  -107.959   -48.822   -13.873    34.948
  -106.961   -47.766   -15.459    32.307
  -105.962   -46.443   -15.503    30.940
  -104.963   -44.790   -15.548    29.242
  -103.964   -43.171   -15.592    27.579
  -102.965   -41.552   -15.612    25.940
  -101.967   -39.959   -14.942    25.017
  -100.968   -38.248   -14.273    23.976
   -99.969   -36.553   -13.603    22.950
   -98.970   -34.816   -12.932    21.884
   -97.972   -33.150   -12.209    20.941
   -96.973   -31.652   -11.486    20.166
   -95.974   -30.186   -10.762    19.424
   -94.975   -28.718   -10.036    18.682
   -93.976   -27.271    -9.188    18.083
   -92.978   -25.826    -8.341    17.485
   -91.979   -24.375    -7.493    16.882
   -90.980   -22.971    -6.644    16.328
   -89.981   -21.555    -5.686    15.869
   -88.983   -20.308    -4.728    15.580
   -87.984   -19.071    -3.770    15.301
   -86.985   -17.940    -2.812    15.128
   -85.986   -16.811    -1.861    14.950
   -84.988   -15.771    -0.911    14.861
   -83.989   -14.745     0.040    14.785
   -82.990   -13.692     0.989    14.681
   -81.991   -12.600     1.832    14.432
   -80.992   -11.560     2.675    14.235
   -79.994   -10.559     3.518    14.077
   -78.995    -9.574     4.360    13.934
   -77.996    -8.611     5.039    13.650
   -76.997    -7.687     5.717    13.403
   -75.999    -6.815     6.395    13.210
   -75.000    -5.957     7.074    13.030
   -74.001    -5.125     7.589    12.713
   -73.002    -4.327     8.104    12.431
   -72.003    -3.622     8.619    12.241
   -71.005    -2.931     9.134    12.065
   -70.006    -2.245     9.519    11.764
   -69.007    -1.564     9.902    11.467
   -68.008    -0.873    10.286    11.159
   -67.010    -0.178    10.670    10.848
   -66.011     0.530    10.955    10.425
   -65.012     1.233    11.239    10.006
   -64.013     1.888    11.523     9.635
   -63.014     2.547    11.807     9.260
   -62.016     3.226    12.013     8.787
   -61.017     3.942    12.218     8.276
   -60.018     4.648    12.422     7.775
   -59.019     5.388    12.627     7.239
   -58.021     6.133    12.761     6.628
   -57.022     6.908    12.894     5.986
