## Computed mag curve (DC shifted by 0.00266154 nT; Mag suscept 0.015) 
# from velocity model E:\project\SeisWide.net\work8\docs\SeisWide\Demos\DemoVMod.bin
# digitization save.
#          X           Y LABEL
     0.00000    -0.00298 
     1.40000    -0.00194 
     2.80000    -0.00087 
     4.20000     0.00018 
     5.60000     0.00113 
     7.00000     0.00181 
     8.40000     0.00205 
     9.80000     0.00176 
    11.20000     0.00108 
    12.60000     0.00024 
    14.00000    -0.00049 
    15.40000    -0.00097 
    16.80000    -0.00113 
    18.20000    -0.00097 
    19.60000    -0.00054 
    21.00000     0.00007 
    22.40000     0.00077 
    23.80000     0.00146 
    25.20000     0.00202 
    26.60000     0.00227 
    28.00000     0.00208 
    29.40000     0.00143 
    30.80000     0.00045 
    32.20000    -0.00063 
    33.60000    -0.00161 
    35.00000    -0.00235 
    36.40000    -0.00282 
    37.80000    -0.00302 
    39.20000    -0.00298 
    40.60000    -0.00276 
    42.00000    -0.00240 
    43.40000    -0.00200 
    44.80000    -0.00164 
    46.20000    -0.00140 
    47.60000    -0.00137 
    49.00000    -0.00156 
    50.40000    -0.00191 
    51.80000    -0.00235 
    53.20000    -0.00279 
    54.60000    -0.00321 
    56.00000    -0.00359 
    57.40000    -0.00392 
    58.80000    -0.00417 
    60.20000    -0.00431 
    61.60000    -0.00434 
    63.00000    -0.00424 
    64.40000    -0.00399 
    65.80000    -0.00359 
    67.20000    -0.00303 
    68.60000    -0.00235 
    70.00000    -0.00164 
    71.40000    -0.00105 
    72.80000    -0.00071 
    74.20000    -0.00063 
    75.60000    -0.00072 
    77.00000    -0.00079 
    78.40000    -0.00065 
    79.80000    -0.00018 
    81.20000     0.00064 
    82.60000     0.00176 
    84.00000     0.00306 
    85.40000     0.00430 
    86.80000     0.00515 
    88.20000     0.00532 
    89.60000     0.00471 
    91.00000     0.00344 
    92.40000     0.00177 
    93.80000     0.00004 
    95.20000    -0.00145 
    96.60000    -0.00247 
    98.00000    -0.00292 
    99.40000    -0.00285 
   100.80000    -0.00240 
   102.20000    -0.00177 
   103.60000    -0.00115 
   105.00000    -0.00071 
   106.40000    -0.00053 
   107.80000    -0.00058 
   109.20000    -0.00072 
   110.60000    -0.00077 
   112.00000    -0.00059 
   113.40000    -0.00021 
   114.80000     0.00027 
   116.20000     0.00067 
   117.60000     0.00089 
   119.00000     0.00098 
   120.40000     0.00118 
   121.80000     0.00178 
   123.20000     0.00296 
   124.60000     0.00465 
   126.00000     0.00650 
   127.40000     0.00794 
   128.80000     0.00845 
   130.20000     0.00790 
   131.60001     0.00663 
   133.00000     0.00508 
   134.39999     0.00350 
   135.80000     0.00199 
   137.20000     0.00047 
   138.60001    -0.00110 
