 shot  ray#     dist   amplitude     phase  code
    1    1     9.240   0.130E-03    121.63  10.1
    1    2    10.377   0.417E-03    132.31  10.1
    1    3    10.392   0.740E-03    133.03  10.1
    1    4    10.779   0.844E-03    133.89  10.1
    1    6    12.333   0.939E-03    133.23  10.1
    1    7    13.051   0.119E-02    143.37  10.1
    1    8    13.851   0.132E-02    145.38  10.1
    1    9    14.736   0.120E-02    147.56  10.1
    1   10    17.788   0.114E-02    148.82  10.1
    1   11    18.974   0.141E-02    141.56  10.1
    1   12    19.976   0.189E-02    155.94  10.1
    1   13    20.709   0.221E-02    154.55  10.1
    1   14    21.728   0.223E-02    154.14  10.1
    1   15    22.686   0.215E-02    160.85  10.1
    1   16    24.035   0.234E-02    157.53  10.1
    1   17    24.533   0.278E-02    166.09  10.1
    1   18    25.354   0.297E-02    166.17  10.1
    1   19    26.146   0.292E-02    156.72  10.1
    1   20    26.992   0.287E-02    169.22  10.1
    1    1    12.419   0.537E-04    130.93  11.1
    1    2    13.280   0.111E-03    132.56  11.1
    1    3    14.273   0.187E-03    117.42  11.1
    1    4    15.287   0.291E-03    108.34  11.1
    1    5    16.150   0.454E-03    121.20  11.1
    1    6    17.113   0.642E-03    134.94  11.1
    1    7    18.196   0.803E-03    142.29  11.1
    1    8    19.129   0.923E-03    138.67  11.1
    1    9    20.010   0.991E-03    136.36  11.1
    1   10    21.024   0.103E-02    126.68  11.1
    1   11    22.051   0.108E-02    145.22  11.1
    1   12    23.283   0.117E-02    152.35  11.1
    1   13    24.167   0.130E-02    146.58  11.1
    1   14    25.179   0.140E-02    143.69  11.1
    1   15    26.165   0.146E-02    149.82  11.1
    1   16    27.157   0.152E-02    150.33  11.1
    1   17    28.145   0.155E-02    151.98  11.1
    1   18    29.144   0.159E-02    148.97  11.1
    1   19    30.144   0.162E-02    152.31  11.1
    1   20    31.128   0.164E-02    152.62  11.1
    1    1    14.936   0.235E-04    140.78  12.1
    1    2    16.018   0.679E-04    118.03  12.1
    1    3    17.336   0.139E-03    140.47  12.1
    1    4    18.713   0.199E-03    132.63  12.1
    1    5    19.947   0.251E-03    117.73  12.1
    1    6    21.315   0.345E-03    120.17  12.1
    1    7    22.848   0.459E-03    156.29  12.1
    1    8    24.090   0.514E-03    139.84  12.1
    1    9    25.410   0.549E-03    145.76  12.1
    1   10    26.742   0.660E-03    143.31  12.1
    1   11    28.069   0.772E-03    145.44  12.1
    1   12    29.402   0.830E-03    139.49  12.1
    1   13    30.728   0.875E-03    144.28  12.1
    1   14    32.036   0.913E-03    144.47  12.1
    1   15    33.398   0.913E-03    157.85  12.1
    1   16    34.671   0.899E-03    129.89  12.1
    1   17    35.993   0.932E-03    140.07  12.1
    1   18    37.324   0.989E-03    144.93  12.1
    1   19    38.672   0.102E-02    146.11  12.1
    1   20    39.996   0.104E-02    146.03  12.1
    1    1    20.709   0.266E-05    115.74  13.1
    1    2    21.577   0.559E-05     98.63  13.1
    1    3    22.648   0.895E-05    128.70  13.1
    1    4    23.589   0.111E-04     93.02  13.1
    1    5    24.648   0.148E-04    117.99  13.1
    1    6    25.668   0.222E-04     97.92  13.1
    1    7    26.703   0.305E-04     98.36  13.1
    1    8    27.721   0.363E-04    101.89  13.1
    1    9    28.762   0.410E-04     94.51  13.1
    1   10    29.795   0.483E-04    100.04  13.1
    1   11    30.799   0.567E-04    100.29  13.1
    1   12    31.824   0.641E-04    100.83  13.1
    1   13    32.860   0.652E-04    110.00  13.1
    1   14    33.855   0.571E-04    122.82  13.1
    1   15    34.893   0.533E-04    102.94  13.1
    1   16    35.901   0.619E-04     98.20  13.1
    1   17    36.929   0.714E-04    103.37  13.1
    1   18    37.968   0.779E-04    100.36  13.1
