# digitization save. To avoid auto sorting, just manually insert a point 0.001 apart in X.
#          X           Y LABEL
     1.90744    14.48010 1
     1.96125     6.99039 1
     3.13920    14.48010 1
     3.31858     7.47941 1
     3.65727    17.18257 1
     4.78258    10.51647 1
     4.84510    19.26733 1
     5.28582     8.27728 1
     5.56685    16.05011 1
     6.90026     9.79582 1
     8.29397    17.69733 1
    10.05488    19.00996 1
    11.35732     8.99794 1
     4.01153     4.57104 0
     5.40775     4.98284 0
     8.45026     5.62629 0
    10.05488     5.65203 0
    11.78452     6.32121 0
